Max Reward,Max Query Reward,Turns Taken,Max Turns Allowed,Hardness,Correct
1.0,1.0,1,7,easy,True
1.0,1.0,1,7,medium,True
1.0,1.0,1,7,easy,True
1.0,1.0,1,7,medium,True
1.0,1.0,1,7,easy,True
1.0,1.0,1,7,medium,True
1.0,1.0,1,7,easy,True
0.4769874476987448,0.7692307692307693,7,7,medium,False
1.0,1.0,1,7,easy,True
0.46296296296296297,0.574468085106383,7,7,medium,False
1.0,1.0,1,7,easy,True
1.0,1.0,1,7,medium,True
0.0,0.9629629629629629,7,7,easy,False
1.0,1.0,2,7,medium,True
1.0,0.9242424242424242,1,7,easy,True
0.0,0.8153846153846154,7,7,medium,False
0.0,0.9178082191780822,7,7,easy,False
0.0,0.9178082191780822,7,7,medium,False
1.0,1.0,1,7,easy,True
1.0,1.0,6,7,easy,True
1.0,1.0,1,7,medium,True
1.0,1.0,1,7,medium,True
1.0,1.0,1,7,easy,True
1.0,1.0,1,7,hard,True
0.0,0.8571428571428571,7,7,hard,False
0.0,0.765625,7,7,hard,False
0.0,0.8059701492537313,7,7,hard,False
0.0,1.0,7,7,hard,False
0.0,0.7956989247311828,7,7,hard,False
0.0,0.7375,7,7,hard,False
